name,latitude,longitude,region,country,services,description,company_type,website
BuildRight Construction,14.7010556,120.9830225,South Asia,Philippines,Substation Civil; Piling Works; Civil BoP; Concreting; Excavation,"Industrial civil contractor focused on substation and transmission line foundations, piling, and BoP for power infrastructure projects.",Civil Construction,https://www.buildrightconstruction.com.ph/
EngiStruct Consulting,-27.4256,153.1437,Oceania,Australia,Transmission Lines; Substation Civil,"Engineering and civil services for transmission lines, substations, and high-voltage grid projects.",Civil Engineering,https://www.engistruct.com.au/
EFLA Engineers,64.1355,-21.8954,Europe,Iceland,Substation Civil; Transmission Lines; Grid Connection Civils,"EFLA's HQ in Reykjavik, offering consultancy in transmission lines and substations.",Civil Engineering,https://www.efla-engineers.com/
EFLA Engineers,59.9139,10.7522,Europe,Norway,Substation Civil; Transmission Lines; Grid Connection Civils,EFLA AS in Oslo provides consultancy in power transmission and grid engineering.,Civil Engineering,https://www.efla-engineers.com/
EFLA Engineers,59.3293,18.0686,Europe,Sweden,Substation Civil; Transmission Lines; Grid Connection Civils,EFLA AB in Stockholm offers engineering for electricity distribution projects.,Civil Engineering,https://www.efla-engineers.com/
EFLA Engineers,55.6761,12.5683,Europe,Denmark,Substation Civil; Transmission Lines; Grid Connection Civils,EFLA ApS in Copenhagen is focused on expanding energy sector partnerships.,Civil Engineering,https://www.efla-engineers.com/
EFLA Engineers,48.8566,2.3522,Europe,France,Substation Civil; Transmission Lines; Grid Connection Civils,"HECLA SAS, a French subsidiary of EFLA, supports national high-voltage systems.",Civil Engineering,https://www.efla-engineers.com/
EFLA Engineers,51.7592,19.456,Europe,Poland,Substation Civil; Transmission Lines; Grid Connection Civils,EFLA's Polish office focuses on transmission infrastructure design.,Civil Engineering,https://www.efla-engineers.com/
EFLA Engineers,55.9533,-3.1883,Europe,United Kingdom,Substation Civil; Transmission Lines; Grid Connection Civils,"KSLD in Edinburgh, a part of EFLA, specializes in lighting and electrical design.",Civil Engineering,https://www.efla-engineers.com/
HDI (Horizontal Drilling International),48.8722,2.3508,Europe,France,Landfall HDD; Nearshore Civil Works,Pioneers in trenchless technology and HDD for civil and energy infrastructure.,Civil Engineering,https://www.hdi.fr/en
HDDP Solutions,48.8662,2.2215,Europe,France,Landfall HDD; Cable Ducting,Engineering specialists in HDD and Direct Pipe® technologies for landfall and cable ducting works.,Civil Engineering,https://hddpsolutions.com/en/hddpeng/
DISA International / VLCV BV,51.3196,4.8649,Europe,Belgium,Landfall HDD; Nearshore Civil Works,HQ in Beerse. Turnkey marine civil contractor specializing in HDD and nearshore trenchless projects.,Civil Engineering,https://www.disa-international.com
DISA International / VLCV BV,51.8169,4.4762,Europe,Netherlands,Landfall HDD; Nearshore Civil Works,Dutch office in Heinenoord supporting nearshore trenching and HDD services for energy infrastructure.,Civil Engineering,https://www.disa-international.com
DISA International / VLCV BV,51.2005,6.2163,Europe,Germany,Landfall HDD; Nearshore Civil Works,German office in Niederkrüchten providing HDD and trenchless pipeline construction services.,Civil Engineering,https://www.disa-international.com
DISA International / VLCV BV,26.1361,-80.1294,North America,USA,Landfall HDD; Nearshore Civil Works,U.S. office in Fort Lauderdale offering support for marine trenchless and HDD infrastructure projects.,Civil Engineering,https://www.disa-international.com
DISA International / VLCV BV,1.2921,103.8419,Asia,Singapore,Landfall HDD; Nearshore Civil Works,Singapore office supporting regional offshore energy and trenchless engineering projects.,Civil Engineering,https://www.disa-international.com
Van Oord,51.9206,4.5539,Europe,Netherlands,Substation Civil; Nearshore Civil Works; Landfall HDD; Cable Ducting; Grid Connection Civils,"Global HQ in Rotterdam specializing in marine engineering, offshore wind, and trenchless infrastructure.",Civil Engineering,https://www.vanoord.com
Van Oord,50.7931,0.0554,Europe,United Kingdom,Nearshore Civil Works; Coastal Protection; Substation Civil,"UK office in Newhaven focusing on coastal defense, marine civil works, and offshore wind infrastructure.",Civil Engineering,https://www.vanoord.com
